date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
14.12.2016 08:00,-4.5,774.2,4.1,34,Wind blowing from the north-east,3,
14.12.2016 05:00,-4.2,770.1,-3.7,32,Wind blowing from the north-east,2,
14.12.2016 02:00,-2.6,773.8,4.1,29,Wind blowing from the north-east,2,
13.12.2016 23:00,-0.6,769.7,-1.7,25,Wind blowing from the north-northeast,4,
13.12.2016 20:00,-1.6,771.4,4.4,57,Wind blowing from the east-northeast,1,
13.12.2016 17:00,2.0,767.0,-2.4,48,Wind blowing from the west,2,
13.12.2016 14:00,3.2,769.4,1.8,29,Wind blowing from the west,2,
13.12.2016 11:00,2.0,767.6,-2.9,28,Wind blowing from the north-east,2,
13.12.2016 08:00,1.7,770.5,4.2,29,Wind blowing from the north-east,4,
13.12.2016 05:00,1.4,766.3,-3.9,37,Wind blowing from the north-east,2,
13.12.2016 02:00,-1.5,770.2,4.1,88,Wind blowing from the east,1,
12.12.2016 23:00,0.3,766.1,-2.2,79,Wind blowing from the east-northeast,1,
12.12.2016 20:00,1.9,768.3,5.4,71,Wind blowing from the north-northwest,1,
12.12.2016 17:00,4.4,762.9,-1.7,60,Wind blowing from the east,3,
12.12.2016 14:00,5.7,764.6,2.4,50,Wind blowing from the north-east,2,
12.12.2016 11:00,3.7,762.2,-2.3,58,Wind blowing from the north-east,2,
12.12.2016 08:00,2.1,764.5,4.3,64,Wind blowing from the north-northeast,1,
12.12.2016 05:00,1.8,760.2,-3.6,64,Wind blowing from the north-east,1,
12.12.2016 02:00,1.9,763.8,2.8,68,Wind blowing from the north-east,1,
11.12.2016 23:00,1.9,761.0,-3.2,68,Wind blowing from the north-east,2,
11.12.2016 20:00,1.9,764.2,4.3,65,Wind blowing from the east-northeast,1,
11.12.2016 17:00,2.8,759.9,-4.3,57,Wind blowing from the west-southwest,2,
11.12.2016 14:00,3.8,764.2,0.5,53,Wind blowing from the south-southwest,2,
11.12.2016 11:00,0.8,763.7,-3.7,59,Wind blowing from the north-east,1,
11.12.2016 08:00,-3.3,767.4,2.8,70,Wind blowing from the east-northeast,2,
11.12.2016 05:00,-4.9,764.6,-4.1,74,"Calm, no wind",0,
11.12.2016 02:00,-4.2,768.7,3.0,72,"Calm, no wind",0,
10.12.2016 23:00,-3.1,765.7,-3.3,65,"Calm, no wind",0,
10.12.2016 20:00,-0.4,769.0,4.0,51,Wind blowing from the south-west,1,
10.12.2016 17:00,3.4,765.0,-3.3,32,Wind blowing from the south-west,1,
10.12.2016 14:00,6.0,768.3,1.6,24,Wind blowing from the south-west,2,
10.12.2016 11:00,2.7,766.7,-3.2,32,Wind blowing from the east,1,
10.12.2016 08:00,-3.8,769.9,4.2,56,Wind blowing from the north-east,1,
10.12.2016 05:00,-5.7,765.7,-4.0,77,"Calm, no wind",0,
10.12.2016 02:00,-4.8,769.7,3.3,72,"Calm, no wind",0,
09.12.2016 23:00,-3.3,766.4,-3.1,62,"Calm, no wind",0,
09.12.2016 20:00,-0.6,769.5,4.3,48,Wind blowing from the south-west,1,
09.12.2016 17:00,1.7,765.2,-2.9,36,Wind blowing from the west,2,
09.12.2016 14:00,4.4,768.1,2.3,23,Wind blowing from the west-southwest,2,
