date,temp,atmospheric_pressure,pressure_change,humidity,wind_direction,wind_speed_m_s,precipitation
13.08.2019 05:00,23.6,744.1,-3.2,66,Wind blowing from the north,1,
13.08.2019 02:00,23.0,747.3,2.7,73,Wind blowing from the north,2,3
12.08.2019 23:00,22.9,744.6,-2.8,75,Wind blowing from the north,4,
12.08.2019 20:00,25.4,747.4,4.8,58,Wind blowing from the north-east,8,Trace of precipitation
12.08.2019 17:00,28.3,742.6,-2.4,46,Wind blowing from the north-northeast,5,
12.08.2019 14:00,27.6,745.0,2.4,53,Wind blowing from the north-northeast,2,
12.08.2019 11:00,28.2,742.6,-2.2,50,Wind blowing from the north-northeast,3,
12.08.2019 08:00,27.5,744.8,3.4,51,Wind blowing from the north,4,
12.08.2019 05:00,26.4,741.4,-3.6,55,Wind blowing from the north,3,
12.08.2019 02:00,24.8,745.0,1.9,70,Wind blowing from the north-east,2,0.1
11.08.2019 23:00,24.8,743.1,-4.0,72,Wind blowing from the north-northeast,3,
11.08.2019 20:00,24.1,747.1,2.7,78,Wind blowing from the north-northeast,3,3
11.08.2019 17:00,23.9,744.4,-3.6,86,Wind blowing from the north-northeast,2,
11.08.2019 14:00,23.6,748.0,2.1,87,Wind blowing from the north-east,2,2
11.08.2019 11:00,23.8,745.9,-3.3,88,Wind blowing from the north-east,1,
11.08.2019 08:00,23.9,749.2,3.3,86,Wind blowing from the north-northeast,1,
11.08.2019 05:00,23.7,745.9,-3.6,91,Wind blowing from the north-northeast,2,
11.08.2019 02:00,24.2,749.5,2.4,89,Wind blowing from the north-east,1,
10.08.2019 23:00,24.6,747.1,-2.7,81,Wind blowing from the east,1,
10.08.2019 20:00,25.4,749.8,3.3,74,Wind blowing from the east,1,
10.08.2019 17:00,26.9,746.5,-2.7,71,Wind blowing from the south-southeast,2,
10.08.2019 14:00,27.0,749.2,1.7,69,Wind blowing from the east,1,0.2
10.08.2019 11:00,25.0,747.5,-2.6,85,Wind blowing from the south,2,
10.08.2019 08:00,23.7,750.1,4.2,92,Wind blowing from the north,1,2
10.08.2019 05:00,23.6,745.9,-3.4,92,"Calm, no wind",0,
10.08.2019 02:00,23.7,749.3,1.7,89,Wind blowing from the east-northeast,1,
09.08.2019 23:00,23.7,747.6,-2.1,89,"Calm, no wind",0,
09.08.2019 20:00,24.3,749.7,3.2,89,Wind blowing from the north-east,2,14
09.08.2019 17:00,30.1,746.5,-3.0,63,Wind blowing from the south-east,2,
09.08.2019 14:00,30.8,749.5,1.8,61,Wind blowing from the south,3,
09.08.2019 11:00,29.9,747.7,-3.3,67,Wind blowing from the south,4,
09.08.2019 08:00,26.9,751.0,3.1,82,Wind blowing from the south-southwest,2,
09.08.2019 05:00,25.4,747.9,-3.4,85,Wind blowing from the south-southwest,2,
09.08.2019 02:00,27.1,751.3,2.9,78,Wind blowing from the south-southwest,2,
08.08.2019 23:00,27.8,748.4,-2.9,78,Wind blowing from the south-west,1,
08.08.2019 20:00,29.6,751.3,3.7,68,Wind blowing from the south,2,
08.08.2019 17:00,31.5,747.6,-3.7,59,Wind blowing from the south-southwest,3,
08.08.2019 14:00,31.6,751.3,1.9,57,Wind blowing from the south,3,
08.08.2019 11:00,29.9,749.4,-3.0,63,Wind blowing from the south,2,
08.08.2019 08:00,25.9,752.4,4.0,81,Wind blowing from the north-east,2,
08.08.2019 05:00,23.8,748.4,-2.8,90,Wind blowing from the west-southwest,1,
08.08.2019 02:00,24.8,751.2,3.0,85,Wind blowing from the south,1,
07.08.2019 23:00,26.0,748.2,-2.3,76,Wind blowing from the south-west,1,
07.08.2019 20:00,28.6,750.5,3.9,70,Wind blowing from the south-west,2,
